gm_index,Event,Stat,signal_pe_ratio_max,signal_ratio_max,snr_min,snr_max,snr_average,tail_ratio,mtail_ratio,tailnoise_ratio,mtailnoise_ratio,head_ratio,Snr_0.1_0.5,Snr_0.5_1.0,Snr_1.0_2.0,Snr_2.0_5.0,Snr_5.0_10.0,ft_a1_a2,PN/PGA,bracketedPGA_10_20,Ds575,Ds595,v18p7p4
1.0,2012p001403,ADCS,0.004322943,0.008607288,1.90683,18.45717,5.8708,0.060360171,0.169115798,424.4750867,273.1809684,0.166192021,6.16175,6.66864,10.68306,5.35362,4.9802,0.488305489,0.166192021,1.645375591,4.522416288,10.00489858,0.0
2.0,2012p001403,CCCC,0.045600836,0.066407975,1.36273,46.84215,18.88861,0.038212165,0.113583348,76.7524537,47.25139388,0.052025056,1.71763,5.07442,25.59203,35.79712,9.98556,0.394834865,0.057529974,2.293551251,2.993977221,9.467661855,0.0
3.0,2012p001403,CHHC,0.038485612,0.073696585,1.45869,40.72534,17.99452,0.015710926,0.054733528,29.41244594,15.72725739,0.060956443,3.66048,6.24591,33.6273,29.67604,9.94879,0.432851281,0.101331301,1.999729324,3.752039362,14.19634604,0.0
4.0,2012p001403,CSHS,0.017546501,0.026062599,0.93769,26.64296,7.68268,0.065039504,0.219595496,197.6176759,233.4335602,0.429256744,1.9902,7.90989,13.757,10.22267,5.06092,0.171695542,0.368711705,1.056542324,15.05393769,23.96656993,0.0
5.0,2012p001403,HVSC,0.087832482,0.134368288,1.18001,29.50418,16.89721,0.036188396,0.124672845,70.46665797,51.46638505,0.092874087,1.44877,1.77673,7.04581,21.7196,18.58966,0.989721627,0.104825072,2.562831324,6.115782724,13.10615856,0.0
6.0,2012p001403,KOWC,0.007158683,0.018282451,0.70907,6.76766,3.13004,0.028660243,0.086960647,84.6074321,70.10012185,0.180405215,1.44787,5.44933,4.68154,3.36264,2.49208,0.25108552,0.210788623,2.268827705,8.413803946,13.27077022,0.0
7.0,2012p001403,LPOC,0.195003376,0.45464523,1.80573,20.68758,12.87246,0.024519713,0.08813716,23.50662084,19.54824316,0.086256407,2.32663,3.89497,14.5713,11.67544,14.84623,0.724936541,0.101537713,4.279617028,5.219310183,26.32346375,0.0
8.0,2012p001403,NBLC,0.060969345,0.100256546,1.34034,58.31284,28.20305,0.010582245,0.041802666,22.62905909,19.75418496,0.02459429,4.46204,8.07831,25.26394,35.93363,27.72305,0.479278142,0.034060608,2.086754255,3.632750254,12.56075209,0.0
9.0,2012p001403,PRPC,0.030415478,0.088411005,1.5682,71.44622,36.38311,0.00745779,0.031668522,15.21668995,7.617540461,0.030684913,4.02282,9.16264,30.12462,54.02564,31.95358,0.526178875,0.060824424,2.502412,3.43433392,11.39522243,0.0
10.0,2012p001403,RHSC,0.017804149,0.051433936,1.60605,76.09884,25.99364,0.017378862,0.071060927,36.64950818,28.85200528,0.064864808,3.92252,5.20157,27.69674,51.0599,14.15102,0.706441526,0.083461914,2.048109049,4.552188932,14.48226469,0.0
